ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
120025039,DestinyandBruce,4832,1,,0,4799,247,"RT @DDentner: @Pjdahling @DestinyandBruce @mitchellvii @rustie9 @timkaine   This moderator sucks, part of the Clinton Machine. Pence is cru…",
3263253388,meNabster,19999,41,,0,21888,716,RT @inabster: Seth Conrad Rich’s unsolved murder: 5 Fast Facts You Need to Know - https://t.co/SmxHy6Z3ST https://t.co/QFsdVh9MRS,"London, England"
559645321,LyleKlich,5138,40,,0,5460,310,"RT @jimlibertarian: Hey Joe have you been drinking moonshine again,Hillary Clinton&amp;Tim Kaine would be a disaster for freedom loving America…",
779864235727790080,natalieAPgov,31,5,,0,43,0,"RT @cravosa1: He could still release his taxes but Clinton can never show us the 30,000 emails even if she wanted to  #hsgovchat https://t.…","Connecticut, USA"
424688633,sddickerson,242,0,DorranceS,0,103,27,"@DorranceS @IngrahamAngle 
Like Donald Trump when he ""Debated"" Hillary Clinton?
HRC/2016",Milwaukee WI
754791686887399424,WeirdNews__,1084,36,,0,35,294,RT @CNN: A group of undecided women in Virginia watching the #VPDebate dial down as Pence attacks Clinton on foreign policy https://t.co/pB…,
701936273158701057,ABinaryNews,10883,0,,1,9264,117,Guccifer 2.0 Claims To Have Hacked Clinton Foundation | The Daily Caller https://t.co/pSlktzKQ4l,
741131879412305920,truth_trumpet,1011,27,,0,1074,25,"RT @TaraSetmayer: It's clear Pence's strategy is going to be answer any questions asked abt Trump with...""But Hillary Clinton..."" He never…",The USA  
46517086,faperrigo,314,0,,0,546,10,"Can she please ask Kaine ""since your son is a Marine, can you defend the 'what difference does it make' Benghazi comment of Hillary Clinton?",
758419912171872262,PoliticalActOne,9347,0,,0,7186,7,FBI Agreed to Destroy Clinton Aides' Laptops After Granting Them Immunity -  #news  https://t.co/KnljaQWpDU,
201070890,RandyAMeyer,22,40,,0,92,2,RT @DLoesch: The scary thing is that the Clinton camp hopes Kaine will make up a little for her lack of likability. He’s failing tonight. #…,Minneapolis
736795890984341504,RogerPierceOne,11376,0,,0,7793,36,Guccifer 2.0 Claims To Have Hacked Clinton Foundation | The Daily Caller #news  https://t.co/GzopJ35Pbg,
700413464817311744,GoogleSniper8A,9811,0,,0,7410,83,Bill Clinton Throws Bernie Sanders Under The Bus | The Daily Caller https://t.co/oBd8zYUxdD,
756198051518242816,LibertyThreeM,8638,0,,0,6399,4,"Dems turn on ObamaCare amid premium hikes, Bill Clinton laments crazy system | Fox News #news  https://t.co/4wqvW6P7d1",
780840467277549568,tlkconservative,1319,64,,0,166,5,"RT @WalidPhares: Kaine think Clinton killed Osama, fixed Russia relations and scared Iran!...cartoon in progress","Minnesota, USA"
7744592,TODAYshow,3560233,6,,7,8180,18745,"People question Hillary Clinton's trustworthiness ""because they're paying attention""— @mike_pence #VPDebate https://t.co/H3MTo78Dus",Studio 1A
